Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
500.0,158.0,0.09,0.23,184.0,0.002,0.59,8e-05,0.5111111402511597
7.0,40.0,0.005,0.35,72.0,0.0002,0.68,0.003,0.4563491940498352
20.0,224.0,0.06,0.01,41.0,0.0005,0.49,3e-06,0.4888888895511627
600.0,270.0,0.0001,0.4,180.0,0.03,0.58,0.0007,0.4825396835803986
1.0,267.0,0.05,0.61,267.0,0.09,0.18,0.8,0.4126984179019928
100.0,88.0,0.1,0.8,108.0,0.0006000000000000001,0.04,7.000000000000003e-06,0.4539682567119598
300.0,248.0,0.0002,0.54,129.0,0.006999999999999999,0.54,0.08,0.4944444298744202
1.0,164.0,0.009000000000000001,0.26,263.0,0.0004,0.59,0.01,0.4126984179019928
500.0,205.0,0.09,0.61,153.0,0.003,0.14,0.008,0.4833333194255829
50.0,202.0,0.0,0.51,228.0,0.0005,0.56,0.0001,0.4825396835803986
800.0,198.0,0.04,0.5,157.0,0.4,0.19,0.0004,0.5142857432365417
4.0,72.0,0.0006000000000000001,0.33,199.0,0.006,0.33,4e-06,0.5174603462219238
300.0,113.0,9e-05,0.63,4.0,0.003,0.2,0.5,0.4174603223800659
90.0,163.0,0.0006000000000000001,0.44,121.0,0.7000000000000001,0.66,0.006999999999999999,0.4888888895511627
600.0,214.0,0.0004,0.6,292.0,0.0001,0.54,0.06,0.4944444298744202
90.0,60.0,0.5,0.75,231.0,0.003,0.37,4e-05,0.5047619342803955
300.0,295.0,0.0001,0.78,260.0,0.07,0.11,0.0002,0.4761904776096344
4.0,107.0,0.0006000000000000001,0.18,73.0,0.1,0.33,0.2,0.4126984179019928
30.0,154.0,0.0,0.56,136.0,0.06,0.39,0.30000000000000004,0.4126984179019928
80.0,103.0,0.0002,0.29,61.0,0.0002,0.3,0.0006000000000000001,0.4857142865657806
20.0,298.0,0.00030000000000000003,0.04,67.0,0.00030000000000000003,0.19,0.07,0.4134920537471771
60.0,258.0,0.01,0.57,124.0,0.0008,0.66,0.002,0.4825396835803986
200.0,270.0,4e-05,0.7,87.0,1e-05,0.27,7.000000000000001e-05,0.5079365372657776
60.0,146.0,9e-05,0.67,185.0,0.002,0.21,0.07,0.41507935523986816
4.0,265.0,0.005,0.01,65.0,0.003,0.09,0.0008,0.4126984179019928
900.0,210.0,0.0,0.36,187.0,0.0,0.41,4e-06,0.41507935523986816
40.0,223.0,7.000000000000001e-05,0.55,182.0,0.0,0.02,0.0001,0.5047619342803955
40.0,81.0,7.000000000000001e-05,0.64,206.0,0.004,0.39,0.002,0.4857142865657806
20.0,211.0,0.02,0.67,274.0,0.06,0.12,0.05,0.4126984179019928
60.0,224.0,0.0002,0.73,235.0,9e-05,0.2,0.0008,0.4722222089767456
4.0,274.0,0.0001,0.36,257.0,0.9,0.58,0.0006000000000000001,0.43809524178504944
70.0,129.0,4e-05,0.2,27.0,0.0,0.48,0.0009000000000000002,0.4650793671607971
2.0,64.0,0.0001,0.14,128.0,0.06,0.69,0.0007,0.460317462682724
9.0,62.0,0.008,0.51,90.0,6.000000000000002e-05,0.76,0.0009000000000000002,0.44206348061561584
50.0,249.0,0.08,0.55,142.0,0.01,0.25,2e-06,0.4666666686534882
800.0,94.0,0.0,0.48,234.0,0.1,0.61,2e-06,0.39841270446777344
300.0,75.0,0.0007,0.68,179.0,3.000000000000001e-05,0.52,2e-05,0.4214285612106323
800.0,131.0,0.30000000000000004,0.1,97.0,0.0,0.72,5e-05,0.4634920656681061
30.0,227.0,0.0,0.04,12.0,3.000000000000001e-05,0.19,0.004,0.4476190507411957
8.0,194.0,0.008,0.75,179.0,0.08,0.39,0.00030000000000000003,0.4777777791023254
7.0,196.0,0.002,0.0,246.0,0.0007,0.61,0.30000000000000004,0.24761904776096344
30.0,122.0,0.6000000000000001,0.48,157.0,0.003,0.04,0.03,0.4126984179019928
3.0,158.0,0.0001,0.39,119.0,3.000000000000001e-05,0.24,0.04,0.41111111640930176
700.0,173.0,0.001,0.64,279.0,0.0004,0.04,0.05,0.4698412716388702
900.0,235.0,0.006999999999999999,0.74,33.0,7.000000000000001e-05,0.0,0.00030000000000000003,0.4507936537265778
700.0,177.0,0.08,0.41,282.0,0.0005,0.19,0.0006000000000000001,0.4928571283817291
800.0,167.0,0.0,0.16,208.0,0.0,0.42,7.000000000000003e-06,0.38730159401893616
9.0,281.0,0.002,0.71,147.0,0.9,0.23,9e-06,0.5111111402511597
